transcript_id,chrom,strand,txStart,txEnd,cdsStart,cdsEnd,exonCount,gene,exonFrames,exonStarts,exonEnds,exonLengths
NM_017436.7,chr22,-,42692120,42720870,42692889,42693951,3,A4GALT,0;-1;-1;,42692120;42695490;42720796;,42693997;42695631;42720870;,1877;141;74;
NM_015665.6,chr12,-,53307459,53321610,53307488,53321465,16,AAAS,0;2;1;2;1;0;2;0;2;2;2;0;1;2;0;0;,53307459;53307844;53308051;53308281;53308434;53308724;53308959;53309156;53309600;53314297;53314750;53315093;53315334;53315726;53320564;53321342;,53307713;53307929;53308133;53308349;53308528;53308815;53309020;53309281;53309721;53314441;53314849;53315140;53315426;53315782;53320692;53321610;,254;85;82;68;94;91;61;125;121;144;99;47;92;56;128;268;
NM_024666.5,chr15,-,67200666,67254661,67202820,67254631,10,AAGAB,0;1;1;0;1;1;1;0;1;0;,67200666;67203547;67204043;67208561;67209461;67231813;67235978;67236407;67236629;67254558;,67202898;67203597;67204148;67208658;67209544;67231897;67236068;67236504;67236820;67254661;,2232;50;105;97;83;84;90;97;191;103;
NM_001605.3,chr16,-,70252297,70289506,70252720,70282763,21,AARS1,0;0;0;0;0;2;0;0;0;1;0;1;0;2;0;2;2;0;0;0;-1;,70252297;70253267;70253713;70253918;70254620;70255727;70258032;70258979;70261043;70262345;70264957;70265537;70267658;70268270;70269617;70270195;70271780;70276485;70276965;70282619;70289420;,70252906;70253381;70253800;70254038;70254734;70255836;70258217;70259186;70261157;70262524;70265102;70265662;70267809;70268379;70269763;70270340;70271972;70276631;70277154;70282784;70289506;,609;114;87;120;114;109;185;207;114;179;145;125;151;109;146;145;192;146;189;165;86;
NM_020745.4,chr6,-,44298730,44313347,44300546,44313323,22,AARS2,0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;2;0;2;2;0;0;0;,44298730;44301155;44301380;44302059;44302390;44302801;44303065;44303285;44304180;44304419;44304644;44305053;44305652;44306279;44306493;44306922;44307248;44310298;44310993;44311389;44312071;44313080;,44300711;44301266;44301464;44302170;44302513;44302910;44303175;44303423;44304321;44304533;44304817;44305198;44305786;44306391;44306532;44307031;44307394;44310443;44311161;44311535;44312263;44313347;,1981;111;84;111;123;109;110;138;141;114;173;145;134;112;39;109;146;145;168;146;192;267;
NM_005763.4,chr7,-,122073548,122144249,122076488,122133726,24,AASS,1;1;2;0;0;0;0;2;2;1;2;0;0;2;2;0;1;0;0;1;0;0;0;-1;,122073548;122077837;122078861;122079596;122081499;122086011;122091702;122092842;122093047;122098449;122098744;122101370;122101620;122113117;122113597;122115073;122116632;122116878;122118306;122118562;122126374;122129360;122133516;122144160;,122076607;122078014;122078950;122079712;122081595;122086179;122091843;122092951;122093158;122098576;122098866;122101438;122101680;122113229;122113720;122115222;122116760;122116957;122118453;122118630;122126459;122129537;122133741;122144249;,3059;177;89;116;96;168;141;109;111;127;122;68;60;112;123;149;128;79;147;68;85;177;225;89;
NM_020686.6,chr16,+,8674616,8784570,8735739,8781430,16,ABAT,-1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;,8674616;8735698;8746000;8748107;8750421;8757756;8764068;8764737;8766207;8768192;8768824;8772779;8774889;8776343;8779478;8781308;,8674711;8735809;8746098;8748137;8750539;8757806;8764149;8764830;8766270;8768256;8768973;8772917;8775057;8776490;8779590;8784570;,95;111;98;30;118;50;81;93;63;64;149;138;168;147;112;3262;
NM_005502.4,chr9,-,104781005,104928155,104784314,104903679,50,ABCA1,0;2;2;0;0;2;0;0;2;1;0;2;0;2;0;0;2;2;0;2;2;0;1;1;0;1;0;1;1;2;2;1;1;0;0;2;2;0;0;0;1;0;0;0;1;2;1;0;0;-1;,104781005;104785395;104786297;104786872;104787919;104788425;104790921;104791935;104792785;104793170;104794386;104796052;104796308;104798420;104799818;104800509;104802053;104803283;104804625;104806240;104809465;104810799;104812573;104814117;104814426;104816142;104817331;104818662;104819585;104819926;104821374;104822495;104824464;104825682;104826947;104828915;104830924;104831621;104832573;104836979;104837427;104840278;104845476;104858521;104861678;104883038;104884426;104889101;104903613;104927934;,104784455;104785639;104786390;104786976;104788054;104788567;104791028;104791998;104792906;104793300;104794510;104796197;104796424;104798598;104799988;104800584;104802159;104803316;104804720;104806430;104809564;104810924;104812722;104814231;104814475;104816345;104817404;104818883;104819723;104820069;104821506;104822667;104824578;104825887;104827169;104829138;104831101;104831827;104832771;104837096;104837567;104840519;104845569;104858698;104861800;104883157;104884568;104889195;104903771;104928155;,3450;244;93;104;135;142;107;63;121;130;124;145;116;178;170;75;106;33;95;190;99;125;149;114;49;203;73;221;138;143;132;172;114;205;222;223;177;206;198;117;140;241;93;177;122;119;142;94;158;221;
NM_173076.3,chr2,-,214931541,215138626,214932633,215138208,53,ABCA12,0;0;2;2;0;0;2;0;2;0;2;0;2;1;0;2;0;2;2;1;0;0;1;2;2;1;1;1;0;0;2;1;1;0;0;1;0;0;0;1;2;0;1;2;1;2;0;0;1;2;1;0;0;,214931541;214934077;214937509;214942924;214945000;214947421;214948595;214949039;214950878;214953853;214955201;214956662;214958276;214959023;214966847;214968719;214970272;214973948;214974777;214975784;214978315;214978803;214980482;214982186;214983646;214986541;214987646;214989328;214989551;214990701;214997694;215000704;215001557;215004208;215007726;215010330;215011438;215011970;215015489;215018007;215019335;215019539;215025672;215026819;215031820;215036952;215045836;215049625;215052486;215054572;215064065;215111596;215138139;,214932741;214934215;214937615;214943017;214945104;214947556;214948737;214949149;214951083;214954107;214955361;214956778;214958454;214959078;214966953;214968807;214970400;214974042;214974864;214976037;214978466;214979040;214980643;214982383;214983865;214986728;214987793;214989463;214989621;214991031;214997809;215001020;215001737;215004299;215007846;215010470;215011649;215012135;215015663;215018132;215019448;215019796;215025779;215026938;215031896;215037065;215046015;215049811;215052584;215054664;215064219;215111690;215138626;,1200;138;106;93;104;135;142;110;205;254;160;116;178;55;106;88;128;94;87;253;151;237;161;197;219;187;147;135;70;330;115;316;180;91;120;140;211;165;174;125;113;257;107;119;76;113;179;186;98;92;154;94;487;
NM_001606.5,chr9,-,137007233,137028237,137007928,137028140,49,ABCA2,0;0;0;2;2;0;0;2;0;2;1;0;2;0;2;1;0;2;1;2;1;1;1;0;1;1;2;2;1;1;0;2;0;2;1;1;0;0;0;2;0;0;0;1;2;1;1;0;0;,137007233;137008415;137008730;137008950;137009369;137009540;137009768;137009982;137010192;137010619;137010972;137011185;137011406;137011633;137011843;137012101;137012264;137012484;137012711;137013001;137013460;137013831;137014167;137014689;137014912;137015413;137015674;137015961;137016290;137016573;137016919;137017195;137017501;137017786;137017972;137018177;137018718;137018902;137019177;137020335;137020693;137021391;137021890;137022350;137022701;137022940;137023837;137024142;137028074;,137007964;137008622;137008868;137009053;137009462;137009644;137009903;137010124;137010371;137010737;137011105;137011309;137011554;137011749;137012018;137012162;137012376;137012590;137012925;137013318;137013563;137014038;137014404;137014810;137015097;137015596;137015871;137016174;137016471;137016738;137017124;137017346;137017692;137017901;137018075;137018351;137018815;137019070;137019306;137020495;137021061;137021610;137022001;137022478;137022865;137023052;137023840;137024236;137028237;,731;207;138;103;93;104;135;142;179;118;133;124;148;116;175;61;112;106;214;317;103;207;237;121;185;183;197;213;181;165;205;151;191;115;103;174;97;168;129;160;368;219;111;128;164;112;3;94;163;
