transcript_id,mane_status,CDS_start,CDS_end,CDS_length
NM_017436.7,MANE Select,262,1323,1061
NM_015665.6,MANE Select,146,1786,1640
NM_024666.5,MANE Select,31,978,947
NM_001605.3,MANE Select,108,3014,2906
NM_020745.4,MANE Select,25,2982,2957
NM_005763.4,MANE Select,105,2885,2780
NM_020686.6,MANE Select,137,1639,1502
NM_005502.4,MANE Select,314,7099,6785
NM_173076.3,MANE Select,419,8206,7787
NM_001606.5,MANE Select,98,7408,7310
