Uniprot_ID,Total_Protein_Domain_Count,Total_Protein_Repeat_Count
Q9NPC4,0,0
Q9NRG9,0,7
Q6PD74,0,0
P49588,0,0
Q5JTZ9,0,0
Q9UDR5,0,0
P80404,0,0
O95477,2,0
Q86UK0,2,0
Q9BZC7,2,0
Q99758,2,0
P78363,2,0
P08183,4,0
O95342,4,0
P21439,4,0
Q9NP58,2,0
O75027,2,0
P33527,4,0
Q92887,4,0
O15439,4,0
O95255,4,0
Q09428,4,0
O60706,4,0
P33897,2,0
O14678,2,0
Q9H222,2,0
Q9H221,2,0
Q8N2K0,0,0
O95870,1,0
Q8WTS1,1,0
P00519,3,0
Q13085,5,0
Q9UKU7,0,0
Q9H845,0,0
P11310,0,0
P16219,0,0
P45954,0,0
P49748,0,0
P16112,8,47
P24752,0,0
Q5T8D3,1,0
Q9BR61,1,2
Q96AP0,0,0
P12821,2,0
Q9BYF1,2,0
Q9NUN7,0,0
Q16570,0,0
Q99798,0,0
Q15067,0,0
Q99424,0,0
Q9BZG2,0,0
P13686,0,0
Q4G176,0,0
O60488,0,0
P68133,0,0
P62736,0,0
P60709,0,0
P68032,0,0
P63261,0,0
P63267,0,0
O96019,0,0
O94805,0,0
Q9Y615,0,0
Q8TC94,0,0
P12814,4,4
P35609,4,4
O43707,4,4
Q04771,2,0
P36896,2,0
Q13705,1,0
P37023,2,0
Q03154,0,0
P00813,0,0
Q9NZK5,0,0
O14672,2,0
P78536,2,0
Q9P0K1,3,0
Q13443,3,0
Q9H324,8,0
Q76LX8,12,0
Q8TE58,5,0
Q8TE56,8,0
Q8TE60,8,0
Q8TE59,8,0
O95450,7,0
O15072,7,0
Q9P2N4,18,0
Q86TH1,8,0
Q6UY14,7,0
P55265,6,0
P78563,3,0
Q96EY9,1,0
O60266,0,0
O95622,2,0
O43306,0,0
P35611,0,0
Q9UEY8,0,0
Q9UHX3,6,0
Q9Y653,1,0
Q8IZP9,1,0
Q86SQ4,3,0
O94910,3,0
Q8WXG9,36,6
P11766,0,0
Q15848,2,0
Q96A54,0,0
P55263,0,0
Q9H2P0,0,0
Q9NX46,0,0
P07550,0,0
P30566,0,0
Q8N142,0,0
Q8IUX7,2,0
P51816,0,0
P51826,0,0
Q9UHB7,0,0
Q8NB90,0,0
Q9BVQ7,0,0
Q9Y4W6,0,0
P02771,3,0
P20933,0,0
Q9UPQ3,3,2
Q96MI9,1,0
Q8NDL9,1,0
Q53H12,1,0
P35573,0,0
Q6ZNB7,1,0
Q9UL18,2,0
Q9UKV8,2,0
O15120,0,0
Q9NRZ7,0,0
O00116,1,0
O95994,0,0
O00468,20,0
P01019,0,0
Q9UPW5,1,0
P30556,0,0
P21549,0,0
P23526,0,0
Q5TGY3,0,0
Q8N157,1,7
P35869,4,0
Q9GZX7,1,0
O95831,0,0
O14862,2,0
Q12904,1,0
Q13155,1,0
O00170,1,3
Q9NZN9,1,3
O43918,2,0
Q9UKB5,0,0
P00568,0,0
P54819,0,0
Q5TCS8,0,0
O75969,0,0
P52895,0,0
P51857,0,0
P31749,3,0
P31751,3,0
Q9Y243,3,0
P13716,0,0
P22557,0,0
P02768,3,0
P54886,0,0
O94788,0,0
P47895,0,0
P05091,0,0
P51648,0,0
P30038,0,0
P51649,0,0
Q02252,0,0
P49419,0,0
P04075,0,0
P05062,0,0
Q9BT22,0,0
Q2TAA5,0,0
Q9BV10,0,0
Q9NP73,2,0
Q96F25,0,0
Q9H553,0,0
Q92685,0,0
Q9Y673,0,0
Q9Y672,0,0
Q9BVK2,0,0
Q9H6U8,0,0
Q9UM73,4,0
Q96BT7,2,0
Q8TCU4,0,34
O75342,2,0
Q9BYJ1,2,0
P09923,0,0
Q96QP1,1,0
Q96L96,3,0
