Gene,Transcript_ID,Chromosome,Strand,Exon,Exon_Start,Exon_End,Exon_Length,Exon_Frame
AARS1,NM_001605,chr16,-,1,70289421,70289506,86,-1
AARS1,NM_001605,chr16,-,2,70282620,70282784,165,0
AARS1,NM_001605,chr16,-,3,70276966,70277154,189,0
AARS1,NM_001605,chr16,-,4,70276486,70276631,146,0
AARS1,NM_001605,chr16,-,5,70271781,70271972,192,2
AARS1,NM_001605,chr16,-,6,70270196,70270340,145,2
AARS1,NM_001605,chr16,-,7,70269618,70269763,146,0
AARS1,NM_001605,chr16,-,8,70268271,70268379,109,2
AARS1,NM_001605,chr16,-,9,70267659,70267809,151,0
AARS1,NM_001605,chr16,-,10,70265538,70265662,125,1
AARS1,NM_001605,chr16,-,11,70264958,70265102,145,0
AARS1,NM_001605,chr16,-,12,70262346,70262524,179,1
AARS1,NM_001605,chr16,-,13,70261044,70261157,114,0
AARS1,NM_001605,chr16,-,14,70258980,70259186,207,0
AARS1,NM_001605,chr16,-,15,70258033,70258217,185,0
AARS1,NM_001605,chr16,-,16,70255728,70255836,109,2
AARS1,NM_001605,chr16,-,17,70254621,70254734,114,0
AARS1,NM_001605,chr16,-,18,70253919,70254038,120,0
AARS1,NM_001605,chr16,-,19,70253714,70253800,87,0
AARS1,NM_001605,chr16,-,20,70253268,70253381,114,0
AARS1,NM_001605,chr16,-,21,70252298,70252906,609,0
ABCA2,NM_001606,chr9,-,1,137028075,137028237,163,0
ABCA2,NM_001606,chr9,-,2,137024143,137024236,94,0
ABCA2,NM_001606,chr9,-,3,137023838,137023840,3,1
ABCA2,NM_001606,chr9,-,4,137022941,137023052,112,1
ABCA2,NM_001606,chr9,-,5,137022702,137022865,164,2
ABCA2,NM_001606,chr9,-,6,137022351,137022478,128,1
ABCA2,NM_001606,chr9,-,7,137021891,137022001,111,0
ABCA2,NM_001606,chr9,-,8,137021392,137021610,219,0
ABCA2,NM_001606,chr9,-,9,137020694,137021061,368,0
ABCA2,NM_001606,chr9,-,10,137020336,137020495,160,2
ABCA2,NM_001606,chr9,-,11,137019178,137019306,129,0
ABCA2,NM_001606,chr9,-,12,137018903,137019070,168,0
ABCA2,NM_001606,chr9,-,13,137018719,137018815,97,0
ABCA2,NM_001606,chr9,-,14,137018178,137018351,174,1
ABCA2,NM_001606,chr9,-,15,137017973,137018075,103,1
ABCA2,NM_001606,chr9,-,16,137017787,137017901,115,2
ABCA2,NM_001606,chr9,-,17,137017502,137017692,191,0
ABCA2,NM_001606,chr9,-,18,137017196,137017346,151,2
ABCA2,NM_001606,chr9,-,19,137016920,137017124,205,0
ABCA2,NM_001606,chr9,-,20,137016574,137016738,165,1
ABCA2,NM_001606,chr9,-,21,137016291,137016471,181,1
ABCA2,NM_001606,chr9,-,22,137015962,137016174,213,2
ABCA2,NM_001606,chr9,-,23,137015675,137015871,197,2
ABCA2,NM_001606,chr9,-,24,137015414,137015596,183,1
ABCA2,NM_001606,chr9,-,25,137014913,137015097,185,1
ABCA2,NM_001606,chr9,-,26,137014690,137014810,121,0
ABCA2,NM_001606,chr9,-,27,137014168,137014404,237,1
ABCA2,NM_001606,chr9,-,28,137013832,137014038,207,1
ABCA2,NM_001606,chr9,-,29,137013461,137013563,103,1
ABCA2,NM_001606,chr9,-,30,137013002,137013318,317,2
ABCA2,NM_001606,chr9,-,31,137012712,137012925,214,1
ABCA2,NM_001606,chr9,-,32,137012485,137012590,106,2
ABCA2,NM_001606,chr9,-,33,137012265,137012376,112,0
ABCA2,NM_001606,chr9,-,34,137012102,137012162,61,1
ABCA2,NM_001606,chr9,-,35,137011844,137012018,175,2
ABCA2,NM_001606,chr9,-,36,137011634,137011749,116,0
ABCA2,NM_001606,chr9,-,37,137011407,137011554,148,2
ABCA2,NM_001606,chr9,-,38,137011186,137011309,124,0
ABCA2,NM_001606,chr9,-,39,137010973,137011105,133,1
ABCA2,NM_001606,chr9,-,40,137010620,137010737,118,2
ABCA2,NM_001606,chr9,-,41,137010193,137010371,179,0
ABCA2,NM_001606,chr9,-,42,137009983,137010124,142,2
ABCA2,NM_001606,chr9,-,43,137009769,137009903,135,0
ABCA2,NM_001606,chr9,-,44,137009541,137009644,104,0
ABCA2,NM_001606,chr9,-,45,137009370,137009462,93,2
ABCA2,NM_001606,chr9,-,46,137008951,137009053,103,2
ABCA2,NM_001606,chr9,-,47,137008731,137008868,138,0
ABCA2,NM_001606,chr9,-,48,137008416,137008622,207,0
ABCA2,NM_001606,chr9,-,49,137007234,137007964,731,0
ABCA1,NM_005502,chr9,-,1,104927935,104928155,221,-1
ABCA1,NM_005502,chr9,-,2,104903614,104903771,158,0
ABCA1,NM_005502,chr9,-,3,104889102,104889195,94,0
ABCA1,NM_005502,chr9,-,4,104884427,104884568,142,1
